Chapter,Verse Number,Verse,Translation
1,1,ॐ ऐं मार्कण्डेय उवाच॥,OṀ aiṁ. Mārkaṇḍeya said:
1,2,सावर्णिः सूर्यतनयो यो मनुः कथ्यतेऽष्टमः ।निशामय तदुत्पत्तिं विस्तराद्गदतो मम॥,"Sāvarṇi, who is Sūrya’s son, is called the eighth manu. Listen while I relate the story of his birth"
1,3,महामायानुभावेन यथा मन्वन्तराधिपः ।स बभूव महाभागः सावर्णिस्तनयो रवेः॥,"and of how, by Mahāmāyā’s authority, he—the illustrious son of the sun god—came to be the lord of an age."
1,4,स्वारोचिषेऽन्तरे पूर्वं चैत्रवंशसमुद्भवः ।सुरथो नाम राजाभूत्समस्ते क्षितिमण्डले॥,"Long ago in the age of the manu Svarociṣba, there arose from the line of Caitra a king named Suratha, who ruled over the whole earth."
1,5,तस्य पालयतः सम्यक् प्रजाः पुत्रानिवौरसान् ।बभूवुः शत्रवो भूपाः कोलाविध्वंसिनस्तदा॥,"He looked after his subjects justly, as if they were his own children. But there were princes at that time who attacked the native hill tribes and became his enemies."
1,6,तस्य तैरभवद् युद्धमतिप्रबलदण्डिनः ।न्यूनैरपि स तैर्युद्धे कोलाविध्वंसिभिर्जितः॥,"Though mightily armed and resolved to fight against them, he suffered defeat in battle, despite his enemies’ inferior forces."
1,7,ततः स्वपुरमायातो निजदेशाधिपोऽभवत् ।आक्रान्तः स महाभागस्तैस्तदा प्रबलारिभिः॥,"And so, with only his native province left to rule, he returned to his own city. There, powerful adversaries set upon him, the illustrious Suratha,"
1,8,अमात्यैर्बलिभिर्दुष्टैर्दुर्बलस्य दुरात्मभिः ।कोशो बलं चापहृतं तत्रापि स्वपुरे ततः॥,"now bereft of strength. His ministers, mighty, corrupted, and disposed to evil, seized power and plundered the treasury, even there in his own city."
1,9,ततो मृगयाव्याजेन हृतस्वाम्यः स भूपतिः ।एकाकी हयमारुह्य जगाम गहनं वनम्॥,"Thus robbed of his dominion, the king mounted his horse on the pretext of hunting and rode off alone into the dense forest."
1,10,स तत्राश्रममद्राक्षीद्द्विजवर्यस्य मेधसः ।प्रशान्तश्वापदाकीर्णं मुनिशिष्योपशोभितम्॥,"He came upon the hermitage of Medhas, chief among the twice-born, and beheld a forest retreat, graced by the sage’s disciples. There he saw beasts once wild now peacefully abiding."
1,11,तस्थौ कञ्चित्स कालं च मुनिना तेन सत्कृतः ।इतश्चेतश्च विचरंस्तस्मिन् मुनिवराश्रमे॥,"Welcomed by the sage, he remained at the hermitage for some time, wandering here and there about the enclosure."
1,12,सोऽचिन्तयत्तदा तत्र ममत्वाकृष्टमानसः ।मत्पूर्वैः पालितं पूर्वं मया हीनं पुरं हि तत्॥,"In that setting, self-centered concerns came to seize his mind, and he reflected:"
1,13,मद्भृत्यैस्तैरसद्वृत्तैर्धर्मतः पाल्यते न वा ।न जाने स प्रधानो मे शूरो हस्ती सदामदः॥,I have left behind the capital that my ancestors governed before me. Are my perverse officials overseeing it justly or not?
1,14,मम वैरिवशं यातः कान् भोगानुपलप्स्यते ।ये ममानुगता नित्यं प्रसादधनभोजनैः॥,"My prized elephant, valiant and of unceasing prowess, has fallen into the hands of my enemies. I know not what comforts he’ll now enjoy."
1,15,अनुवृत्तिं ध्रुवं तेऽद्य कुर्वन्त्यन्यमहीभृताम् ।असम्यग्व्ययशीलैस्तैः कुर्वद्भिः सततं व्ययम्॥,"Those retainers of mine, constantly eager for favor, wealth, and feasting, now surely submit to other lords."
1,16,सञ्चितः सोऽतिदुःखेन क्षयं कोशो गमिष्यति ।एतच्चान्यच्च सततं चिन्तयामास पार्थिवः॥,Their habitual squandering will soon deplete the wealth I so laboriously amassed.
1,17,तत्र विप्राश्रमाभ्याशे वैश्यमेकं ददर्श सः ।स पृष्टस्तेन कस्त्वं भो हेतुश्चागमनेऽत्र कः॥,"While pondering those and other questions, the king caught sight of a lone merchant approaching the sage’s hermitage."
1,18,सशोक इव कस्मात्त्वं दुर्मना इव लक्ष्यसे ।इत्याकर्ण्य वचस्तस्य भूपतेः प्रणयोदितम्॥,"“Who are you,” he asked, “and what brings you here? Why do you look so sorrowful and dejected?”"
1,19,प्रत्युवाच स तं वैश्यः प्रश्रयावनतो नृपम्॥,"Hearing the king speak in friendship, the merchant bowed respectfully and replied."
1,20,वैश्य उवाच॥,The merchant said:
1,21,समाधिर्नाम वैश्योऽहमुत्पन्नो धनिनां कुले॥,"“I am a merchant named Samādhi, born in a wealthy family. My wife and children grew wicked through avarice and cast me out."
1,22,पुत्रदारैर्निरस्तश्च धनलोभादसाधुभिः ।विहीनश्च धनैर्दारैः पुत्रैरादाय मे धनम्॥,"Destitute of riches, wife, and children, my wealth taken from me, I have arrived in the forest, distressed and forsaken by trusted kinsmen."
1,23,वनमभ्यागतो दुःखी निरस्तश्चाप्तबन्धुभिः ।सोऽहं न वेद्मि पुत्राणां कुशलाकुशलात्मिकाम्॥,"Being here, I know not whether good fortune or ill has befallen my children, wife, and family."
1,24,प्रवृत्तिं स्वजनानां च दाराणां चात्र संस्थितः ।किं नु तेषां गृहे क्षेममक्षेमं किं नु साम्प्रतम्॥,At present is well-being or misfortune theirs at home?
1,25,कथं ते किं नु सद्वृत्ता दुर्वृत्ताः किं नु मे सुताः॥,How are my children? Is their behavior virtuous or vile?”
1,26,राजोवाच॥,The king said:
1,27,यैर्निरस्तो भवाँल्लुब्धैः पुत्रदारादिभिर्धनैः॥,"“Those greedy sons, wife, and others who dispossessed you of your wealth—"
1,28,तेषु किं भवतः स्नेहमनुबध्नाति मानसम्॥,why does your mind still cherish them?”
